308.849, 129.485, 4.290,  4.379 False
308.705, 129.485, 4.322,  4.412 False
308.560, 129.485, 4.353,  4.445 False
308.414, 129.485, 4.385,  4.478 False
308.267, 129.485, 4.416,  4.511 False
308.119, 129.485, 4.447,  4.544 False
307.970, 129.485, 4.478,  4.577 False
307.820, 129.485, 4.509,  4.610 False
307.669, 129.485, 4.540,  4.643 False
307.517, 129.485, 4.571,  4.676 False
307.364, 129.485, 4.602,  4.709 False
307.210, 129.485, 4.633,  4.742 False
307.055, 129.485, 4.663,  4.775 False
306.898, 129.485, 4.694,  4.808 False
306.741, 129.485, 4.724,  4.841 False
306.583, 129.485, 4.755,  4.874 False
306.424, 129.487, 4.785,  4.907 False
306.263, 129.489, 4.816,  4.940 False
306.102, 129.492, 4.847,  4.973 False
305.940, 129.495, 4.878,  5.006 False
305.776, 129.499, 4.908,  5.039 False
305.612, 129.504, 4.939,  5.072 False
305.447, 129.510, 4.970,  5.105 False
305.280, 129.516, 5.001,  5.138 False
305.113, 129.523, 5.031,  5.171 False
304.945, 129.531, 5.063,  5.204 False
304.775, 129.539, 5.093,  5.237 False
304.605, 129.548, 5.124,  5.270 False
304.434, 129.558, 5.154,  5.303 False
304.261, 129.568, 5.184,  5.336 False
304.088, 129.579, 5.206,  5.369 False
303.915, 129.591, 5.211,  5.402 False
303.742, 129.603, 5.204,  5.435 False
303.569, 129.615, 5.203,  5.468 False
303.396, 129.627, 5.212,  5.501 False
303.223, 129.640, 5.230,  5.534 False
303.048, 129.654, 5.255,  5.567 False
302.873, 129.668, 5.287,  5.600 False
302.696, 129.682, 5.323,  5.633 False
302.518, 129.697, 5.363,  5.666 False
302.339, 129.712, 5.403,  5.699 False
302.158, 129.728, 5.445,  5.732 False
301.976, 129.743, 5.487,  5.765 False
301.793, 129.760, 5.529,  5.798 False
301.608, 129.776, 5.570,  5.831 False
301.422, 129.793, 5.611,  5.864 False
301.235, 129.811, 5.651,  5.897 False
301.046, 129.829, 5.690,  5.930 False
300.857, 129.848, 5.727,  5.963 False
300.666, 129.868, 5.765,  5.996 False
300.474, 129.888, 5.801,  6.029 False
300.281, 129.910, 5.838,  6.062 False
300.086, 129.931, 5.874,  6.095 False
299.891, 129.954, 5.909,  6.128 False
299.694, 129.976, 5.944,  6.161 False
299.497, 129.999, 5.979,  6.194 False
299.298, 130.022, 6.013,  6.227 False
299.098, 130.045, 6.047,  6.260 False
298.897, 130.069, 6.081,  6.293 False
